LSLANR;LSLORT;LSTENR;TEBEZ1;TEBEZ2;LSLGBE;TEPDIM;TEINPR;WERT;TEWKSF
F5;;MAP15G1226FTF;NOTRUF                   X;5G1 970 226 FT;1;3;566,79;0,5668;
F5;;MAP15G1226HLF;1OTRUF;5G1 970 226 HL;20;3;651,25;13,025;
F5;;MAP15G1226JHF;NOTRUF;5G1 970 226 JH;20;3;565,39;11,3078;
F5;;MFC180101200B;Airbag;8W1 970 012;1;3;299,86;0,2999;
F5;;MFC1801317E0A;Audio;8W1 970 317 E;3;3;91,6;0,2748;
F5;;MFC1801317F0A;Audio;8W1 970 317 F;33;3;395,91;13,065;
F5;;MFC1802317F0A;Audio;8W2 970 317 F;9;3;0;0;
F5;;MFC1841000M0B;Grundmodul;8W1 974 000 M;7;3;980,99;6,8669;
F5;;MFC1841056M0A;Sitzverstellung;8W1 974 056 M;1;3;56,48;0,0565;
F5;01-917;MFC1841082A0A;SBBR Leuchte;8W1 974 082 A;7;3;235,29;1,647;
F5;01-917;MFC1841082L0A;SBBR Leuchte;8W1 974 082 L;24;3;162,21;3,893;
F5;;MFC1841087A0E;Benziner  X;8W1 974 087 A;40;3;1323,33;52,9332;
F5;;MFC1841087A0F;Benziner;8W1 974 087 A;2;3;0;0;
F5;;MFC1841087E0E;Benziner;8W1 974 087 E;2;3;1223,37;2,4467;
F5;;MFC1841087H0E;Benziner  X;8W1 974 087 H;65;3;1327,63;86,296;
F5;;MFC1841136F0A;Sitzheizung;8W1 974 136 F;20;3;242,77;4,8554;
F5;;MFC184113600B;Sitzheizung;8W1 974 136;18;3;169,64;3,0535;
F5;;MFC1841161B0A;Einparkhilfe;8W1 974 161 B;2;3;235,27;0,4705;
F5;;MFC1841161L0A;Einparkhilfe;8W1 974 161 L;3;3;156,89;0,4707;
F5;;MFC1841164A0C;Lichtpaket;8W1 974 164 A;16;3;154,93;2,4789;
F5;;MFC1841164C0B;Lichtpaket;8W1 974 164 C;2;3;56,29;0,1126;
F5;;MFC1841189A0A;ESP;8W1 974 189 A;36;3;341,51;12,2944;
F5;;MFC184118900B;ESP;8W1 974 189;9;3;345,86;3,1127;
F5;;MFC184119300A;Frontscheibenheizung;8W1 974 193;2;3;364,26;0,7285;
F5;;MFC1841218A0B;Multi online DiensX;8W1 974 218 A;6;3;224,64;1,3478;
F5;;MFC1841218C0B;Multi online DiensX;8W1 974 218 C;22;3;234,94;5,1687;
F5;;MFC1841218F0D;Multi online DiensX;8W1 974 218 F;25;3;345,25;8,6313;
F5;;MFC184129100A;RLF-Sensor;8W1 974 291;1;3;25,41;0,0254;
F5;;MFC1841327B0B;Kamera;8W1 974 327 B;2;3;1915,19;3,8304;
F5;;MFC184132900A;Navigation;8W1 974 329;17;3;147,57;2,5087;
F5;;MFC1841357A0A;Feststellbremse;8W1 974 357 A;3;3;32,73;0,0982;
F5;;MFC1841771A0C;Getriebe;8W1 974 771 A;13;3;469,72;6,1064;
F5;;MFC1841771K0C;Getriebe;8W1 974 771 K;1;3;495,52;0,4955;
F5;;MFC1841771M0C;Getriebe;8W1 974 771 M;2;3;530,8;1,0616;
F5;;MFC184190900D;Grundmodul;8W7 974 909;4;3;637,67;2,5507;
F5;;MFC1847000A0D;Grundmodul              RL;8W7 974 000;12;3;0;0;
F5;;MFC184700000B;GrundmodulX             LL;8W7 974 000;2;3;2322,28;4,6446;
F5;;MFC184700000D;Grundmodul              LL;8W7 974 000;5;3;1658,24;8,2912;
F5;;MFC1847029E0A;Klima                   RL;8W7 974 029 E;11;3;132,65;1,4592;
F5;;MFC184702900A;Klima                   LL;8W7 974 029;5;3;73,88;0,3694;
F5;;MFC1847030AAA;Kuehlerluefter          RL;8W7 974 030 AA;2;3;192,66;0,3853;
F5;;MFC1847030BHA;Kuehlerluefter          LL;8W7 974 030 BH;3;3;205,04;0,6151;
F5;;MFC1847030B0A;Kuehlerluefter          LL;8W7 974 030 B;4;3;280,5;1,122;
F5;;MFC1847030D0A;Kuehlerluefter          LL;8W7 974 030 D;1;3;250,05;0,2501;
F5;;MFC1847030E0A;Kuehlerluefter          RL;8W7 974 030 E;1;3;250,16;0,2502;
F5;;MFC1847030H0A;Kuehlerluefter          LL;8W7 974 030 H;11;3;424,06;4,6647;
F5;;MFC1847030J0A;Kuehlerluefter          RL;8W7 974 030 J;1;3;423,87;0,4239;
F5;;MFC1847030K0A;Kuehlerluefter          LL;8W7 974 030 K;1;3;430,35;0,4304;
F5;;MFC1847030T0A;Kuehlerluefter          LL;8W7 974 030 T;2;3;192,84;0,3857;
F5;;MFC1847034A0A;Diesel                  RL;8W7 974 034 A;1;3;1904,89;1,9049;
F5;;MFC1847034B0B;Diesel                  LL;8W7 974 034 B;2;3;1629,14;3,2583;
F5;;MFC184706900A;Japan                   LL;8W7 974 069;1;3;82,61;0,0826;
F5;;MFC1847079C0A;LWR                     RL;8W7 974 079 C;1;3;178,67;0,1787;
F5;;MFC1847079K0A;LWR                     LL;8W7 974 079 K;2;3;184,84;0,3697;
F5;;MFC184707900A;LWR                     LL;8W7 974 079;5;3;156;0,78;
F5;;MFC1847082A0A;SBBR LeuchXe            RL;8W7 974 082 A;41;3;255,66;10,4821;
F5;;MFC1847082B0A;SBBR LeuchXe            LL;8W7 974 082 B;35;3;216,55;7,5793;
F5;;MFC1847082D0A;XBBR Leuchte            LL;8W7 974 082 D;66;3;236,57;15,6136;
F5;;MFC1847082D0B;SBBR Leuchte            LL;8W7 974 082 D;20;3;0;0;
F5;;MFC1847082E0B;SBBR Leuchte            LL;8W7 974 082 E;1;3;169,22;0,1692;
F5;;MFC1847082F0A;SBBR LeuchXe            RL;8W7 974 082 F;1;3;169,01;0,169;
F5;;MFC184708200B;SBBR Leuchte            LL;8W7 974 082;1;3;179,43;0,1794;
F5;;MFC1847087B0B;Benziner                LL;8W7 974 087 B;11;3;1319,97;14,5197;
F5;;MFC1847087C0C;Benziner                LL;8W7 974 087 C;3;3;1044,67;3,134;
F5;;MFC1847087D0B;Benziner                RL;8W7 974 087 D;2;3;1178,84;2,3577;
F5;;MFC1847087E0C;Benziner                LL;8W7 974 087 E;2;3;1054,23;2,1085;
F5;;MFC1847087F0B;Benziner                LL;8W7 974 087 F;1;3;1053,43;1,0534;
F5;;MFC1847087G0A;Benziner                RL;8W7 974 087 G;1;3;1199,22;1,1992;
F5;;MFC1847087R0B;Benziner                LL;8W7 974 087 R;3;3;1085,48;3,2564;
F5;;MFC1847087S0A;Benziner                RL;8W7 974 087 S;4;3;1575,12;6,3005;
F5;;MFC184715000A;AHK                     LL;8W7 974 150;1;3;197,36;0,1974;
F5;;MFC1847161B0A;Einparkhilfe            LL;8W7 974 161 B;20;3;192,37;3,8474;
F5;;MFC1847161E0A;Einparkhilfe            RL;8W7 974 161 E;1;3;239,8;0,2398;
F5;;MFC184716100A;Einparkhilfe            LL;8W7 974 161;1;3;116,85;0,1169;
F5;;MFC1847164B0B;LichtpaketX             LL;8W7 974 164 B;1;3;113,82;0,1138;
F5;;MFC1847164B0C;Lichtpaket              LL;8W7 974 164 B;3;3;100,51;0,3015;
F5;;MFC1847164C0A;LichtpaketX             RL;8W7 974 164 C;2;3;116,71;0,2334;
F5;;MFC1847164C0B;Lichtpaket              RL;8W7 974 164 C;2;3;102,97;0,2059;
F5;;MFC1847164D0C;Lichtpaket              LL;8W7 974 164 D;22;3;170,99;3,7618;
F5;;MFC1847183A0A;LTGS. Soundaktor        RL;8W7 974 183 A;8;3;56,06;0,4485;
F5;;MFC184718300A;LTGS. Soundaktor        LL;8W7 974 183;106;3;43,93;4,6566;
F5;;MFC1847189B0A;ESP                     LL;8W7 974 189 B;7;3;336,61;2,3563;
F5;;MFC184721700C;Quattro Sport           LL;8W7 974 217;1;3;816,14;0,8161;
F5;;MFC1847218F0A;Multi online Dienst     LL;8W7 974 218 F;10;3;336,08;3,3608;
F5;;MFC1847218G0A;LTGS. MULTIMEDIA        RL;8W7 974 218 G;8;3;334,86;2,6789;
F5;;MFC1847219A0B;Antenne                 RL;8W7 974 219 A;8;3;474,31;3,7945;
F5;;MFC1847219B0B;Antenne;8W7 974 219 B;20;3;453,8;9,076;
F5;;MFC1847219C0B;Antenne;8W7 974 219 C;25;3;326,05;8,1513;
F5;;MFC1847219D0B;Antenne                 RL;8W7 974 219 D;6;3;326,4;1,9584;
F5;;MFC1847219K0B;Antenne                 RL;8W7 974 219 K;3;3;468,68;1,406;
F5;;MFC184725600A;Beleuchtung Einstiegsleis;8W7_974_256;1;3;38,65;0,0387;
F5;;MFC184725700B;Garagentoroeffner;8W7 974 257;11;3;231,54;2,5469;
F5;;MFC1847291B0A;RLF-Sensor;8W7 974 291 B;21;3;49,29;1,0351;
F5;;MFC1847291C0A;RLF-Sensor              RL;8W7 974 291 C;1;3;59,86;0,0599;
F5;;MFC184729100A;RLF-Sensor;8W7 974 291;12;3;25,99;0,3119;
F5;;MFC1847323D0A;Ltgs. Sprachmodul       LL;8W7 974 323 D;50;3;471,28;23,564;
F5;;MFC1847323E0A;Ltgs. Sprachmodul       RL;8W7 974 323 A;5;3;471,63;2,3582;
F5;;MFC184732300A;Ltgs. Sprachmodul       LL;8W7 974 323;10;3;452,85;4,5285;
F5;;MFC1847327B0A;Kamera                  LL;8W7_974_327_B;4;3;1948,7;7,7948;
F5;;MFC1847329A0A;Navigation              RL;8W7 974 329 A;1;3;158,84;0,1588;
F5;;MFC184732900A;Navigation;8W7 974 329;4;3;158,83;0,6353;
F5;;MFC1847357B0A;Feststellbremse;8W7 974 357 B;12;3;32,74;0,3929;
F5;;MFC184746500A;KOPFRAUMHEIZUNG         LL;8W7 974 465;6;3;116,25;0,6975;
F5;;MFC1847771C0A;Getriebe                RL;8W7 974 771 C;1;3;749,87;0,7499;
